id,count_of_events,mean_down_time,mean_up_time,mean_action_time,median_down_time,median_up_time,median_action_time,count_word_count,mean_word_count,median_word_count,idle_word_count,count_cursor_position,mean_cursor_position,median_cursor_position,idle_cursor_position,common_activity,common_up_event,common_down_event,count_input,count_remove,count_nonproduction,count_replace,count_paste,input_back_ratio,cursor_word_ratio,count_pun,count_down_q,count_down_Space,count_down_Backspace,count_down_Shift,count_down_ArrowRight,count_down_Leftclick,count_down_ArrowLeft,count_down_.,"count_down_,",count_down_ArrowDown,count_up_q,count_up_Space,count_up_Backspace,count_up_Shift,count_up_ArrowRight,count_up_Leftclick,count_up_ArrowLeft,count_up_.,"count_up_,",count_up_ArrowDown,score
001519c8,2557,848180.7719984357,848297.0187719985,116.24677356276887,891716.0,891802.0,112.0,256,128.11615174032067,132.0,162,1539,711.1634728197106,727.0,110,0,104,105,2010,417,120,7,0,4.820143884892087,6.01171875,37,1619,357,417,27,2,92,2,21,12,0,1619,357,417,27,2,92,2,21,12,0,3.5
0022f953,2454,518855.347595762,518967.56886715564,112.22127139364304,407673.0,407789.0,115.0,323,182.71475142624286,186.0,320,1676,776.2057864710677,743.0,908,0,104,105,1938,260,254,1,1,7.453846153846154,5.188854489164087,53,1490,391,260,97,46,56,49,15,21,3,1490,391,260,97,46,56,49,15,21,3,3.5
0042269b,4136,828491.7751450677,828593.6129110252,101.8377659574468,759582.0,759674.5,94.0,404,194.77272727272728,193.0,185,2291,731.6117021276596,530.5,295,0,104,105,3515,439,175,7,0,8.006833712984054,5.670792079207921,47,2904,552,439,39,6,129,0,21,23,0,2899,552,439,39,6,129,0,21,23,0,6.0
0059420b,1556,785483.0263496144,785604.8746786632,121.84832904884318,848240.5,848405.5,110.0,206,103.61889460154242,108.5,0,1047,542.5372750642673,593.5,0,0,104,105,1304,151,99,1,1,8.635761589403973,5.08252427184466,18,1038,243,152,68,0,18,0,13,3,0,1038,243,152,68,0,18,0,13,3,0,2.0
0075873a,2531,713354.1975503754,713478.1414460688,123.94389569340181,686588.0,686728.0,129.0,252,125.0829711576452,113.0,219,1402,600.0509679968392,630.0,1096,0,104,105,1942,517,72,0,0,3.756286266924565,5.563492063492063,66,1541,324,517,39,0,33,0,23,24,0,1541,324,517,39,0,33,0,23,24,0,4.0
0081af50,2211,544339.1913161465,544420.5956580733,81.40434192672998,378996.0,379095.0,77.0,275,132.94255992763456,134.0,231,1445,662.5323383084577,667.0,156,0,104,105,1794,338,76,3,0,5.3076923076923075,5.254545454545455,16,1451,327,340,12,24,37,0,11,4,0,1451,327,340,12,24,37,0,11,4,0,2.0
0093f095,1765,354314.4577903683,354424.1756373938,109.71784702549576,331472.0,331553.0,110.0,242,119.671388101983,116.0,241,1438,685.2283286118981,711.0,1436,0,104,105,1583,148,34,0,0,10.695945945945946,5.9421487603305785,25,1296,257,148,19,0,13,0,15,7,0,1296,257,148,19,0,13,0,15,7,0,4.5
009e23ab,2353,487666.2923926902,487757.0480237994,90.75563110922226,452862.0,452938.0,91.0,308,154.29706757331067,144.0,44,1768,790.4453888652783,666.0,235,0,104,105,1975,222,155,1,0,8.896396396396396,5.740259740259741,40,1560,366,219,71,1,78,0,18,15,0,1560,366,219,71,1,78,0,18,15,0,4.0
00e048f1,1585,837617.3495268138,837692.3608832808,75.01135646687698,816998.0,817059.0,69.0,223,114.76277602523659,118.0,197,1308,664.4763406940064,679.0,35,0,104,105,1426,118,41,0,0,12.084745762711865,5.865470852017937,28,1148,245,120,29,0,10,0,23,5,0,1148,245,120,29,0,10,0,23,5,0,3.5
00e1f05a,7826,884357.5039611551,884450.8471760798,93.34321492461028,888236.0,888300.0,71.0,739,364.3521594684385,416.0,463,4110,1789.3512650140558,1844.0,2695,0,104,105,6145,1446,228,7,0,4.249654218533887,5.561569688768606,113,4929,1087,1432,149,9,57,6,29,57,1,4929,1087,1432,149,9,57,6,29,57,1,4.5
00e713bd,4565,777464.0354874042,777558.3423877327,94.30690032858708,806963.0,807053.0,91.0,574,274.4635268346112,264.0,213,3396,1580.4486308871851,1593.0,97,0,104,105,3946,530,87,2,0,7.445283018867925,5.916376306620209,62,3212,663,530,66,0,21,0,18,20,0,3211,663,530,66,0,21,0,18,20,0,4.5
00f0737e,2416,603517.3120860927,603648.469370861,131.15728476821192,586520.5,586564.0,136.0,252,119.69205298013244,119.0,0,1537,732.5620860927153,745.5,0,0,104,105,1780,237,398,1,0,7.510548523206751,6.099206349206349,34,1446,284,232,244,31,5,61,21,8,25,1446,284,232,244,31,5,61,21,8,25,2.5
00f8e84c,3721,950845.8938457404,950928.324375168,82.43052942757323,901318.0,901318.0,80.0,573,281.27438860521363,279.0,279,3118,1505.1233539371137,1521.0,1521,0,104,105,3182,62,477,0,0,51.32258064516129,5.441535776614311,59,2529,582,62,451,0,26,0,25,26,0,2529,582,62,451,0,26,0,25,26,0,4.5
00fc9a6a,2701,688396.695668271,688508.4639022584,111.76823398741207,635521.0,635601.0,84.0,244,128.46242132543503,129.0,244,1331,594.367641614217,663.0,946,0,104,105,2029,534,136,0,2,3.799625468164794,5.454918032786885,96,1596,330,535,9,12,55,3,28,49,0,1596,330,535,9,12,55,3,28,49,0,3.5
0144e4d5,2117,919170.0991969769,919257.1029759092,87.00377893245158,899530.0,899622.0,86.0,234,124.25460557392536,118.0,76,1582,796.7543693906472,815.0,0,0,104,105,1690,108,319,0,0,15.648148148148149,6.760683760683761,62,1115,484,108,15,56,58,30,37,6,40,1115,484,108,15,56,58,30,37,6,40,2.5
014e7ae9,3919,701810.147996938,701934.1995406991,124.05154376116356,660797.0,660970.0,122.0,449,226.74763970400613,237.0,280,2548,1063.8244450114826,800.0,1549,0,104,105,3289,529,90,10,1,6.217391304347826,5.674832962138084,77,2643,568,528,40,2,46,0,28,28,0,2643,568,528,40,2,46,0,28,28,0,5.0
015aa732,3171,585604.3462630085,585700.8448438979,96.49858088930937,558506.0,558573.0,86.0,421,221.80069378744875,225.0,101,2367,1237.326710816777,1286.0,2130,0,104,105,2848,258,59,6,0,11.03875968992248,5.622327790973872,63,2274,506,258,30,0,29,0,23,29,0,2273,506,258,30,0,29,0,23,29,0,5.0
0178a105,3446,865000.9338363319,865136.77568195,135.84184561810795,864890.0,865024.0,128.0,286,153.3978525827046,161.0,201,1587,861.6183981427743,922.5,786,0,104,105,2444,878,120,3,1,2.783599088838269,5.548951048951049,48,1952,432,877,59,0,58,0,30,12,0,1952,432,877,59,0,58,0,30,12,0,3.0
0182aa1c,3126,750923.826615483,751019.8448496481,96.01823416506718,697512.5,697600.0,90.0,406,190.1919385796545,187.0,26,2164,892.8557261676264,857.0,332,0,104,105,2681,364,80,1,0,7.365384615384615,5.330049261083744,41,2149,488,366,42,5,30,1,19,19,0,2149,488,366,42,5,30,1,19,19,0,4.0
0190ff4c,1922,796372.3277835588,796470.7055150884,98.37773152965661,780482.0,780569.5,94.0,299,147.70343392299688,146.0,46,1630,805.3896982310093,812.0,86,0,104,105,1758,118,46,0,0,14.898305084745763,5.451505016722408,26,1397,328,118,26,0,18,0,17,8,0,1397,328,118,26,0,18,0,17,8,0,4.0
01963e20,5016,1221823.0303030303,1221917.378787879,94.34848484848484,1217748.0,1217862.0,93.0,414,194.23345295055822,188.0,32,2602,1135.8664274322168,1075.0,766,0,104,105,3815,1075,120,6,0,3.5488372093023255,6.285024154589372,72,3114,629,978,51,0,68,1,31,28,0,3113,629,978,51,0,68,1,31,28,0,4.5
019737b6,5526,530513.8811074919,530600.7779587405,86.89685124864278,477266.0,477387.5,96.0,636,308.7870068765834,310.0,111,3592,1581.0975389069852,1551.0,601,0,104,105,4095,418,1011,2,0,9.796650717703349,5.647798742138365,72,3309,711,418,916,2,52,38,32,26,0,3308,711,418,916,2,52,38,32,26,0,3.5
01992d32,3756,760148.7100638978,760283.9856230032,135.2755591054313,658214.5,658245.0,133.0,537,276.3876464323749,274.0,521,2459,1281.0303514376997,1316.0,1565,0,104,105,3374,312,64,6,0,10.814102564102564,4.579143389199255,65,2684,623,312,36,0,28,0,30,18,0,2682,623,312,36,0,28,0,30,18,0,4.0
01c359fc,2934,727123.9151329243,727250.3513974097,126.43626448534424,674323.0,674460.5,123.0,430,233.9850034083163,240.0,425,2277,1208.3824130879345,1257.5,2240,0,104,105,2528,251,155,0,0,10.071713147410359,5.2953488372093025,70,1956,490,251,36,29,14,29,45,23,47,1956,490,251,36,29,14,29,45,23,47,3.5
01d0ba4b,1639,964262.2727272727,964284.2818791947,22.009151921903598,993835.0,993837.0,12.0,229,113.25991458206224,113.0,87,1407,690.4075655887737,673.0,0,0,104,105,1520,113,6,0,0,13.451327433628318,6.14410480349345,24,1241,249,113,0,0,6,0,23,1,0,1241,249,113,0,0,6,0,23,1,0,1.5
